borough;category;name;address;email
Krowodrza;Państwowy urząd pracy;Urząd Pracy Powiatu Krakowskiego Filia w Krakowie;Prądnicka 12, 30-002 Kraków;dnowak@uppkrakow.praca.gov.pl
Krowodrza;Urząd;Departament Generalny - Urząd Marszałkowski Województwa Małopolskiego;Racławicka 56, 30-017 Kraków;sekretariat.is@umwm.malopolska.pl
Krowodrza;Klub sportowy;Center Sportu Kraków - MMA, Kiсkboxing, Jiu-Jitsu, TRX, Kangoo Jumps;Świętokrzyska 14, 30-015 Kraków;
Krowodrza;Szkoła sztuk walki;Centrum Choy Lee Fut Chen Family Kraków;Królewska 51, 30-081 Kraków;sekretariat.clf@gmail.com
Krowodrza;Siłownia;PRO GYM;Daniela Chodowieckiego 7, 30-065 Kraków;
Krowodrza;Siłownia;Fitness Klub CityFit - Siłownia 24h Kraków Principio;Armii Krajowej 25, 30-150 Kraków;rzeszow@cityfit.pl
Krowodrza;Siłownia;Energym - Siłownia i klub Fitness w Krakowie;Wrocławska 28, 30-019 Kraków;biuro@energym.com.pl
Krowodrza;Siłownia;Fitness Club;Daniela Chodowieckiego 7, 30-065 Kraków;
Krowodrza;Siłownia;Fitness Platinium Reymonta The Legend;Władysława Reymonta 22A, 30-059 Kraków;iod@fitnessplatinium.pl
Krowodrza;Klub sportowy;BF24GYM;Kamienna 6A, 30-202 Kraków;office@bf24gym.pl
Krowodrza;muzea;Muzeum Narodowe w Krakowie;al. 3 Maja 1, 30-062 Kraków;dyrekcja@mnk.pl
Krowodrza;muzea;Muzeum Elektroniki Kraków Konsole i Komputery;Wrocławska 8, 30-006 Kraków;rezerwacje@muzeumelektroniki.pl
Krowodrza;muzea;Muzeum Ośrodka Historii Techniki AGH;al. Adama Mickiewicza 30, 30-059 Kraków;muzeauczelniane@uw.edu.pl
Krowodrza;Klub piłkarski;TS Wisła Kraków S.A.;Władysława Reymonta 20, 30-059 Kraków;redakcja@wisla.krakow.pl
Krowodrza;muzea;Ulica Pomorska / Muzeum Krakowa;Poland, Pomorska 2, 30-039 Kraków;info@muzeumkrakowa.pl
Krowodrza;Klinika specjalistyczna;1011 MEDICAL AESTHETIC CLINIC;Armii Krajowej 25, 30-150 Kraków;
Krowodrza;Centrum medyczne;Osteomed - Centrum medyczne dla kobiet Kraków;Kazimierza Wielkiego 57, 30-074 Kraków;
Krowodrza;Klinika specjalistyczna;Medistica;Kazimierza Wielkiego 47, 30-074 Kraków;
Krowodrza;Medical clinic;Global Health Panel Physician Clinic;Wrocławska 1 budynek 1, gabinety 222/223, 30-901 Kraków;panelphysician@yahoo.com
Krowodrza;Centrum medyczne;NZOZ CMC - Cracow Medical Center;Prądnicka 10, 30-002 Kraków;
Krowodrza;Przychodnia lekarska;HARMONY MEDICAL Centrum Medyczne;Lubelska 16/18/LU9, 30-003 Kraków;kontakt@harmonymedical.pl
Krowodrza;Las państwowy;Państwowe Gospodarstwo Leśne Lasy Państwowe Regionalna Dyrekcja Lasów Państwowych W Krakowie;Aleja Juliusza Słowackiego 17a, 31-159 Kraków;niepolomice@krakow.lasy.gov.pl
Krowodrza;Supermarket;Carrefour Market;Juliusza Lea 53, 30-052 Kraków;marta_jablonowska@carrefour.pl
