borough;category;name;address;email
Stare Miasto;muzea;Arsenał Muzeum Książąt Czartoryskich;Pijarska 8, 31-015 Kraków;dyrekcja@mnk.pl
Stare Miasto;muzea;Mury Obronne;Pijarska, 30-547 Kraków;info@muzeumkrakowa.pl
Stare Miasto;muzea;Muzeum Stanisława Wyspiańskiego;plac Generała Władysława Sikorskiego 6, 31-115 Kraków;dyrekcja@mnk.pl
Stare Miasto;Siłownia;XXS GYM Kossaka 5;plac Kossaka 5, 31-106 Kraków;kossaka5@xxsgym.pl
Stare Miasto;muzea;Kamienica Hipolitów;plac Mariacki 3, 31-042 Kraków;info@muzeumkrakowa.pl
Stare Miasto;muzea;Muzeum Narodowe Kamienica Szołayskich;plac Szczepański 9, 31-011 Kraków;dyrekcja@mnk.pl
Stare Miasto;muzea;Muzeum Etnograficzne im. Seweryna Udzieli w Krakowie;plac Wolnica 1, 31-060 Kraków;nawystawe@etnomuzeum.eu
Stare Miasto;Urząd miasta;Urząd Miasta Krakowa;plac Wszystkich Świętych 3-4, 31-004 Kraków;webmast@cyf-kr.edu.pl
Stare Miasto;muzea;Muzeum Fotografii w Krakowie - MuFo Rakowicka;Rakowicka 22A, 31-510 Kraków;sekretariat@mufo.krakow.pl
Stare Miasto;muzea;Rynek Podziemny;Rynek Główny 1, 31-042 Kraków;info@muzeumkrakowa.pl
Stare Miasto;muzea;MNK Sukiennice;Rynek Główny 3, 31-042 Kraków;dyrekcja@mnk.pl
Stare Miasto;muzea;Pałac Krzysztofory;Rynek Główny 35, 31-011 Kraków;info@muzeumkrakowa.pl
Stare Miasto;muzea;Muzeum Archeologiczne w Krakowie;Senacka 3, 31-002 Kraków;mak@ma.krakow.pl
Stare Miasto;muzea;Polish Poster Museum;Stolarska 8/10, 33-332 Kraków;office@cracowpostergallery.com
Stare Miasto;muzea;Krakow Pinball Museum;Stradomska 15, 31-068 Kraków;krakowpinballmuseum@gmail.com
Stare Miasto;muzea;Muzeum Narodowe;św. Marka 17, 31-018 Kraków;dyrekcja@mnk.pl
Stare Miasto;muzea;Muzeum Inżynierii i Techniki;Św. Wawrzyńca 15, 31-060 Kraków;rezerwacja@mit.krakow.pl
Stare Miasto;Galeria sztuki;Galeria Sztuki Współczesnej KERSTEN;Świętego Jana 12, 31-018 Kraków;kerstengallery@kerstengallery.com.pl
Stare Miasto;Galeria sztuki;Galeria Autorska Andrzeja Mleczki;Świętego Jana 14, 31-018 Kraków;galeria@mleczko.pl
Stare Miasto;Biuro informacji turystycznej;InfoKraków;Świętego Jana 2, 31-018 Kraków;it@infokrakow.pl
Stare Miasto;muzea;Muzeum Bursztynu;Świętego Jana 2, 31-018 Kraków;info@ambermuseum.eu
Stare Miasto;Biuro paszportowe;Małopolski Urząd Wojewódzki. Wydział Spraw Obywatelskich. Oddział paszportowy;Świętego Sebastiana 11, 31-049 Kraków;sc@malopolska.uw.gov.pl
Stare Miasto;Siłownia;My Fitness Place;Szlak 77, 31-153 Kraków;iod@benefitsystems.pl
Stare Miasto;Trener osobisty;Gymakers;Trynitarska 6, 31-061 Kraków;office@gymakers.pl
Stare Miasto;Miejski wydział transportu publicznego;Zarząd Transportu Publicznego w Krakowie;Wielopole 1, 31-072 Kraków;park-e-bike@ztp.krakow.pl
Stare Miasto;Urząd skarbowy;Izba Administracji Skarbowej w Krakowie;Wiślna 7, 31-007 Kraków;iod.krakow@mf.gov.pl
Stare Miasto;muzea;Reprezentacyjne Komnaty Królewskie;Zamek Wawel 5, 31-001 Kraków;kancelaria@wawelzamek.pl
