borough;name;address;email;email_2;email_3
Podgórze;The Beast Gym 3.0 - Studio Treningu Personalnego;Przemysłowa 13, 30-701 Kraków;contact@thebeastgym.com;porady@dlakonsumentow.pl;adresstrongforlife.pl@gmail.com
Podgórze;Good Moves Studio;Czyżówka 14/Lokal 1.08, 30-526 Kraków;office@goodmoves.pl;;
Podgórze;Saturn Fitness;Przemysłowa 4, 30-701 Kraków;klub.krakow@saturn-fitness.pl;;
Podgórze;Fit Happens - studio treningu personalnego;Kalwaryjska 59, 30-504 Kraków;fithapstudio@gmail.com;;
Podgórze;7a.m.Gym;Kącik 10/LU 3, 30-549 Kraków;;;
Podgórze;Departament Funduszy Europejskich - Urząd Marszałkowski Województwa Małopolskiego;Wielicka 72, 30-552 Kraków;sekretariat.is@umwm.malopolska.pl;iodo@umwm.malopolska.pl;lubiemalopolske@umwm.pl
Podgórze;Główny Punkt Informacyjny Funduszy Europejskich w Krakowie;Wielicka 72b, 30-552 Kraków;fem@umwm.malopolska.pl;;
Podgórze;Krakowskie Centrum Handlowo-Targowe;Krzywda 1, 30-710 Kraków;biuro@cht.net.pl;info@soloventex.pl;
Podgórze;Centrum Medyczne Imicare;Zabłocie 25/lokal 4, 30-701 Kraków;kontakt@imicare.pl;student@imicare.pl;
Podgórze;Dawny Areszt Śledczy Kraków Podgórze - Zlikwidowany;Stefana Czarnieckiego 3, 30-536 Kraków;redakcja@wyborcza.pl;pomoc@wyborcza.pl;jaroslaw.kurski@agora.pl
Podgórze;Punkt Informacyjny dla Obcokrajowców w Krakowie;Zabłocie 20/A, 31-532 Kraków;otwarty@um.krakow.pl;;
Podgórze;Lidl;Węglarska 4, 30-725 Kraków;magda.szubarczyk@lidl.pl;anna.wieczorek@lidl.pl;aleksandra.szywilewska@lidl.pl
Podgórze;Sklep Pana Tadeusza 4;Pana Tadeusza 4, 30-727 Kraków;;;
Zwierzyniec;Urząd Miasta Krakowa, Krakowskie Centrum Świadczeń;Michała Stachowicza 18, 30-103 Kraków;webmast@cyf-kr.edu.pl;iod@um.krakow.pl;bip@cyfronet.krakow.pl
Zwierzyniec;Akademia Sportu;Zaogrodzie 30, 30-243 Kraków;akademiasportu@gmail.com;;
Zwierzyniec;Thesaurus Cracoviensis - Centrum Interpretacji Artefaktów;Księcia Józefa 337, 30-243 Kraków;dyrekcja@mhk.pl;iod@mhk.pl;edukacja@mhk.pl
Zwierzyniec;SQUASH & Rodzinne Centrum Sportu - D.I. SPORT;Księcia Józefa 54a, 30-206 Kraków;kontaktdisport@gmail.com;biuro@dzieciakiwformie.pl;
Zwierzyniec;Kolejowy Klub Wodny 1929;Księcia Józefa 24a, 30-206 Kraków;kkw1929@o2.pl;;
Zwierzyniec;Juvenia Kraków - Rzemieślniczy Klub Sportowy;Na Błoniach 7, 30-213 Kraków;biuro@juvenia.info;kajetan.cyganik@juvenia.info;
Zwierzyniec;Przystań Muzeum/oddział Muzeum Krakowa;bulwar Rodła, 30-114 Kraków;przystan@muzeumkrakowa.pl;;
Zwierzyniec;Muzeum Kościuszkowskie w Krakowie;aleja Jerzego Waszyngtona 1, 30-204 Kraków;zbiory@kopieckosciuszki.pl;info@kopieckosciuszki.pl;edukacja@kopieckosciuszki.pl
Zwierzyniec;Next Generation Performance Kraków;Senatorska 26a, 30-106 Kraków;karolkruczekpl@gmail.com;;
Zwierzyniec;Lewandowski Medical Clinic;Królowej Jadwigi 129A, 30-212 Kraków;lewandowskiclinic@gmail.com;;
Zwierzyniec;KRAKOVI;Leona Wyczółkowskiego 14/6, 30-118 Kraków;kontakt@krakovi.med.pl;;
Zwierzyniec;LOFTDENT;Chełmska 14, 30-236 Kraków;recepcja@loftdent.pl;;
